Date,Year,Quarter,Month,Month_Name,Weekday,Week_Number
2023-02-05,2023,1,2,February,Sunday,5
2023-02-06,2023,1,2,February,Monday,6
2023-02-07,2023,1,2,February,Tuesday,6
2023-02-08,2023,1,2,February,Wednesday,6
2023-02-09,2023,1,2,February,Thursday,6
2023-02-10,2023,1,2,February,Friday,6
2023-02-11,2023,1,2,February,Saturday,6
2023-02-12,2023,1,2,February,Sunday,6
2023-02-13,2023,1,2,February,Monday,7
2023-02-14,2023,1,2,February,Tuesday,7
2023-02-15,2023,1,2,February,Wednesday,7
2023-02-16,2023,1,2,February,Thursday,7
2023-02-17,2023,1,2,February,Friday,7
2023-02-18,2023,1,2,February,Saturday,7
2023-02-19,2023,1,2,February,Sunday,7
2023-02-20,2023,1,2,February,Monday,8
2023-02-21,2023,1,2,February,Tuesday,8
2023-02-22,2023,1,2,February,Wednesday,8
2023-02-23,2023,1,2,February,Thursday,8
2023-02-24,2023,1,2,February,Friday,8
2023-02-25,2023,1,2,February,Saturday,8
2023-02-26,2023,1,2,February,Sunday,8
2023-02-27,2023,1,2,February,Monday,9
2023-02-28,2023,1,2,February,Tuesday,9
2023-03-01,2023,1,3,March,Wednesday,9
2023-03-02,2023,1,3,March,Thursday,9
2023-03-03,2023,1,3,March,Friday,9
2023-03-04,2023,1,3,March,Saturday,9
2023-03-05,2023,1,3,March,Sunday,9
2023-03-06,2023,1,3,March,Monday,10
2023-03-07,2023,1,3,March,Tuesday,10
2023-03-08,2023,1,3,March,Wednesday,10
2023-03-09,2023,1,3,March,Thursday,10
2023-03-10,2023,1,3,March,Friday,10
2023-03-11,2023,1,3,March,Saturday,10
2023-03-12,2023,1,3,March,Sunday,10
2023-03-13,2023,1,3,March,Monday,11
2023-03-14,2023,1,3,March,Tuesday,11
2023-03-15,2023,1,3,March,Wednesday,11
2023-03-16,2023,1,3,March,Thursday,11
2023-03-17,2023,1,3,March,Friday,11
2023-03-18,2023,1,3,March,Saturday,11
2023-03-19,2023,1,3,March,Sunday,11
2023-03-20,2023,1,3,March,Monday,12
2023-03-21,2023,1,3,March,Tuesday,12
2023-03-22,2023,1,3,March,Wednesday,12
2023-03-23,2023,1,3,March,Thursday,12
2023-03-24,2023,1,3,March,Friday,12
2023-03-25,2023,1,3,March,Saturday,12
2023-03-26,2023,1,3,March,Sunday,12
2023-03-27,2023,1,3,March,Monday,13
2023-03-28,2023,1,3,March,Tuesday,13
2023-03-29,2023,1,3,March,Wednesday,13
2023-03-30,2023,1,3,March,Thursday,13
2023-03-31,2023,1,3,March,Friday,13
2023-04-01,2023,2,4,April,Saturday,13
2023-04-02,2023,2,4,April,Sunday,13
2023-04-03,2023,2,4,April,Monday,14
2023-04-04,2023,2,4,April,Tuesday,14
2023-04-05,2023,2,4,April,Wednesday,14
2023-04-06,2023,2,4,April,Thursday,14
2023-04-07,2023,2,4,April,Friday,14
2023-04-08,2023,2,4,April,Saturday,14
2023-04-09,2023,2,4,April,Sunday,14
2023-04-10,2023,2,4,April,Monday,15
2023-04-11,2023,2,4,April,Tuesday,15
2023-04-12,2023,2,4,April,Wednesday,15
2023-04-13,2023,2,4,April,Thursday,15
2023-04-14,2023,2,4,April,Friday,15
2023-04-15,2023,2,4,April,Saturday,15
2023-04-16,2023,2,4,April,Sunday,15
2023-04-17,2023,2,4,April,Monday,16
2023-04-18,2023,2,4,April,Tuesday,16
2023-04-19,2023,2,4,April,Wednesday,16
2023-04-20,2023,2,4,April,Thursday,16
2023-04-21,2023,2,4,April,Friday,16
2023-04-22,2023,2,4,April,Saturday,16
2023-04-23,2023,2,4,April,Sunday,16
2023-04-24,2023,2,4,April,Monday,17
2023-04-25,2023,2,4,April,Tuesday,17
2023-04-26,2023,2,4,April,Wednesday,17
2023-04-27,2023,2,4,April,Thursday,17
2023-04-28,2023,2,4,April,Friday,17
2023-04-29,2023,2,4,April,Saturday,17
2023-04-30,2023,2,4,April,Sunday,17
2023-05-01,2023,2,5,May,Monday,18
2023-05-02,2023,2,5,May,Tuesday,18
2023-05-03,2023,2,5,May,Wednesday,18
2023-05-04,2023,2,5,May,Thursday,18
2023-05-05,2023,2,5,May,Friday,18
2023-05-06,2023,2,5,May,Saturday,18
2023-05-07,2023,2,5,May,Sunday,18
2023-05-08,2023,2,5,May,Monday,19
2023-05-09,2023,2,5,May,Tuesday,19
2023-05-10,2023,2,5,May,Wednesday,19
2023-05-11,2023,2,5,May,Thursday,19
2023-05-12,2023,2,5,May,Friday,19
2023-05-13,2023,2,5,May,Saturday,19
2023-05-14,2023,2,5,May,Sunday,19
2023-05-15,2023,2,5,May,Monday,20
2023-05-16,2023,2,5,May,Tuesday,20
2023-05-17,2023,2,5,May,Wednesday,20
2023-05-18,2023,2,5,May,Thursday,20
2023-05-19,2023,2,5,May,Friday,20
2023-05-20,2023,2,5,May,Saturday,20
2023-05-21,2023,2,5,May,Sunday,20
2023-05-22,2023,2,5,May,Monday,21
2023-05-23,2023,2,5,May,Tuesday,21
2023-05-24,2023,2,5,May,Wednesday,21
2023-05-25,2023,2,5,May,Thursday,21
2023-05-26,2023,2,5,May,Friday,21
2023-05-27,2023,2,5,May,Saturday,21
2023-05-28,2023,2,5,May,Sunday,21
2023-05-29,2023,2,5,May,Monday,22
2023-05-30,2023,2,5,May,Tuesday,22
2023-05-31,2023,2,5,May,Wednesday,22
2023-06-01,2023,2,6,June,Thursday,22
2023-06-02,2023,2,6,June,Friday,22
2023-06-03,2023,2,6,June,Saturday,22
2023-06-04,2023,2,6,June,Sunday,22
2023-06-05,2023,2,6,June,Monday,23
2023-06-06,2023,2,6,June,Tuesday,23
2023-06-07,2023,2,6,June,Wednesday,23
2023-06-08,2023,2,6,June,Thursday,23
2023-06-09,2023,2,6,June,Friday,23
2023-06-10,2023,2,6,June,Saturday,23
2023-06-11,2023,2,6,June,Sunday,23
2023-06-12,2023,2,6,June,Monday,24
2023-06-13,2023,2,6,June,Tuesday,24
2023-06-14,2023,2,6,June,Wednesday,24
2023-06-15,2023,2,6,June,Thursday,24
2023-06-16,2023,2,6,June,Friday,24
2023-06-17,2023,2,6,June,Saturday,24
2023-06-18,2023,2,6,June,Sunday,24
2023-06-19,2023,2,6,June,Monday,25
2023-06-20,2023,2,6,June,Tuesday,25
2023-06-21,2023,2,6,June,Wednesday,25
2023-06-22,2023,2,6,June,Thursday,25
2023-06-23,2023,2,6,June,Friday,25
2023-06-24,2023,2,6,June,Saturday,25
2023-06-25,2023,2,6,June,Sunday,25
2023-06-26,2023,2,6,June,Monday,26
2023-06-27,2023,2,6,June,Tuesday,26
2023-06-28,2023,2,6,June,Wednesday,26
2023-06-29,2023,2,6,June,Thursday,26
2023-06-30,2023,2,6,June,Friday,26
2023-07-01,2023,3,7,July,Saturday,26
2023-07-02,2023,3,7,July,Sunday,26
2023-07-03,2023,3,7,July,Monday,27
2023-07-04,2023,3,7,July,Tuesday,27
2023-07-05,2023,3,7,July,Wednesday,27
2023-07-06,2023,3,7,July,Thursday,27
2023-07-07,2023,3,7,July,Friday,27
2023-07-08,2023,3,7,July,Saturday,27
2023-07-09,2023,3,7,July,Sunday,27
2023-07-10,2023,3,7,July,Monday,28
2023-07-11,2023,3,7,July,Tuesday,28
2023-07-12,2023,3,7,July,Wednesday,28
2023-07-13,2023,3,7,July,Thursday,28
2023-07-14,2023,3,7,July,Friday,28
2023-07-15,2023,3,7,July,Saturday,28
2023-07-16,2023,3,7,July,Sunday,28
2023-07-17,2023,3,7,July,Monday,29
2023-07-18,2023,3,7,July,Tuesday,29
2023-07-19,2023,3,7,July,Wednesday,29
2023-07-20,2023,3,7,July,Thursday,29
2023-07-21,2023,3,7,July,Friday,29
2023-07-22,2023,3,7,July,Saturday,29
2023-07-23,2023,3,7,July,Sunday,29
2023-07-24,2023,3,7,July,Monday,30
2023-07-25,2023,3,7,July,Tuesday,30
2023-07-26,2023,3,7,July,Wednesday,30
2023-07-27,2023,3,7,July,Thursday,30
2023-07-28,2023,3,7,July,Friday,30
2023-07-29,2023,3,7,July,Saturday,30
2023-07-30,2023,3,7,July,Sunday,30
2023-07-31,2023,3,7,July,Monday,31
2023-08-01,2023,3,8,August,Tuesday,31
2023-08-02,2023,3,8,August,Wednesday,31
2023-08-03,2023,3,8,August,Thursday,31
2023-08-04,2023,3,8,August,Friday,31
2023-08-05,2023,3,8,August,Saturday,31
2023-08-06,2023,3,8,August,Sunday,31
2023-08-07,2023,3,8,August,Monday,32
2023-08-08,2023,3,8,August,Tuesday,32
2023-08-09,2023,3,8,August,Wednesday,32
2023-08-10,2023,3,8,August,Thursday,32
2023-08-11,2023,3,8,August,Friday,32
2023-08-12,2023,3,8,August,Saturday,32
2023-08-13,2023,3,8,August,Sunday,32
2023-08-14,2023,3,8,August,Monday,33
2023-08-15,2023,3,8,August,Tuesday,33
2023-08-16,2023,3,8,August,Wednesday,33
2023-08-17,2023,3,8,August,Thursday,33
2023-08-18,2023,3,8,August,Friday,33
2023-08-19,2023,3,8,August,Saturday,33
2023-08-20,2023,3,8,August,Sunday,33
2023-08-21,2023,3,8,August,Monday,34
2023-08-22,2023,3,8,August,Tuesday,34
2023-08-23,2023,3,8,August,Wednesday,34
2023-08-24,2023,3,8,August,Thursday,34
2023-08-25,2023,3,8,August,Friday,34
2023-08-26,2023,3,8,August,Saturday,34
2023-08-27,2023,3,8,August,Sunday,34
2023-08-28,2023,3,8,August,Monday,35
2023-08-29,2023,3,8,August,Tuesday,35
